stage,stage_rank,market_id,market_slug,asset,volume_1mo_usd,volume_total_usd,wallet_flow_rows,market_flow_hourly_rows,whale_flow_hourly_rows,undercovered,observed_flow_hours,coverage_span_hours,continuity_ratio,missing_hours_estimate,recent_coverage,coverage_need,selection_reason
stage_1_quick,1,2054828,will-bitcoin-reach-82500-in-april,BTC,889805.4353279977,889805.4353280033,1513,98,97,True,98,194,0.5026,97,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,2,2044470,bitcoin-above-76k-on-april-28,BTC,75436.754582,75436.75458199997,363,41,34,True,41,85,0.4767,45,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,3,2046596,will-bitcoin-dip-to-70000-in-april-118-383,BTC,965628.0518780005,965628.0518780004,1115,107,103,True,107,228,0.4672,122,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,4,2044473,bitcoin-above-78k-on-april-28,BTC,69470.84803100002,69470.84803099997,524,38,27,True,38,86,0.4368,49,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,5,2053402,bitcoin-above-74k-on-april-29,BTC,522157.3884329997,522157.38843300106,235,37,32,True,37,87,0.4205,51,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,6,2060952,bitcoin-above-72k-on-april-30,BTC,601809.7113070004,601809.7113070025,370,36,33,True,36,85,0.4186,50,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,7,2053407,bitcoin-above-78k-on-april-29,BTC,84844.00819100002,84844.00819099987,175,49,22,True,49,127,0.3828,79,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,8,2060954,bitcoin-above-74k-on-april-30,BTC,68449.50143600005,68449.50143599993,199,27,26,True,27,71,0.3750,45,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,9,2132779,will-bitcoin-dip-to-70k-in-may-2026,BTC,93604.42913400002,93604.42913399999,163,29,29,True,29,77,0.3718,49,True,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,recent,gap_repair,volume"
stage_1_quick,10,2091260,will-bitcoin-dip-to-74k-april-27-may-3,BTC,92717.760774,92717.76077399992,137,55,55,True,55,147,0.3716,93,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
stage_1_quick,11,2044464,bitcoin-above-72k-on-april-28,BTC,94728.691044,94728.69104400004,803,32,30,True,32,87,0.3636,56,False,continuity_repair,"priority_asset,active,undercovered,need:continuity_repair,stale,gap_repair,volume"
