rank,asset,market_id,market_slug,token_id,question,rule_family,horizon_hours,learned_direction,train_accuracy,test_accuracy,train_average_forward_return,test_average_forward_return,stability,train_samples,test_samples,simplicity,score,grade,filter_reason
1,XRP,1823902,will-xrp-reach-2-in-april-2026,67556301124097607260152199396403959080839673893054926374870558197278260784915,Will XRP reach $2.00 in April?,polymarket_leads_crypto_momentum,24,-1,0.5304347826086957,0.7575757575757576,0.00025797860760158,0.0010073192889121262,1.0,115,33,0.9,4.6860349591942425,WATCHLIST,passed
2,BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",probability_momentum_continuation,24,1,0.5323383084577115,0.5859375,0.00013900129830415273,0.0005095333951741308,1.0,201,128,1.0,4.644703339517413,WATCHLIST,passed
3,BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",probability_reversal,24,-1,0.5323383084577115,0.5859375,0.00013900129830415273,0.0005095333951741308,1.0,201,128,1.0,4.644703339517413,WATCHLIST,passed
4,BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",probability_momentum_continuation,4,-1,0.5472636815920398,0.5755395683453237,0.00034631610749019095,0.0004906306633018404,1.0,201,139,1.0,4.601221339711479,WATCHLIST,passed
5,BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",probability_reversal,4,1,0.5472636815920398,0.5755395683453237,0.00034631610749019095,0.0004906306633018404,1.0,201,139,1.0,4.601221339711479,WATCHLIST,passed
6,BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",probability_momentum_continuation,24,-1,0.5372549019607843,0.5668789808917197,0.0002985689559444562,0.00021666739518392143,1.0,255,157,1.0,4.5391826630852705,WATCHLIST,passed
7,BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",probability_reversal,24,1,0.5372549019607843,0.5668789808917197,0.0002985689559444562,0.00021666739518392143,1.0,255,157,1.0,4.5391826630852705,WATCHLIST,passed
8,ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,MegaETH market cap (FDV) >$2B one day after launch?,probability_momentum_continuation,24,-1,0.5737704918032787,0.5806451612903226,0.00014568489358527442,0.00030439225899957576,1.0,122,93,1.0,4.533019871061248,WATCHLIST,passed
9,ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,MegaETH market cap (FDV) >$2B one day after launch?,probability_reversal,24,1,0.5737704918032787,0.5806451612903226,0.00014568489358527442,0.00030439225899957576,1.0,122,93,1.0,4.533019871061248,WATCHLIST,passed
10,BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",probability_momentum_continuation,1,-1,0.5472636815920398,0.5539568345323741,0.0004741484641695565,0.0006689389329314231,1.0,201,139,1.0,4.532721231422639,WATCHLIST,passed
