rank,asset,symbol,market_id,market_slug,token_id,question,horizon_hours,segment_type,segment_value,combined_regime,simplicity,sample_count,train_samples,test_samples,learned_direction,train_direction_match_rate,test_direction_match_rate,train_average_forward_return,test_average_forward_return,train_win_rate,test_win_rate,full_correlation,train_correlation,test_correlation,train_test_direction_match,stability,baseline_test_average_forward_return,test_improvement_over_baseline,score,grade,filter_reason
1,BTC,BTCUSDT,1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,13887983551129862992605123088744175927084435631400400451585519366058907542147,"Will Bitcoin dip to $50,000 by December 31, 2026?",4,funding_intensity,normal,,1.0,25,15,10,-1,0.6,0.8333333333333334,0.00020252418029705698,0.0008391272012625949,0.2,0.5,-0.35301242065076077,-0.18353816590037164,-0.5777110769153975,True,0.8367076331800744,2.433168350248276e-05,0.0008147955177601121,2.949666736732097,WEAK,passed
2,BTC,BTCUSDT,1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,13887983551129862992605123088744175927084435631400400451585519366058907542147,"Will Bitcoin dip to $50,000 by December 31, 2026?",1,funding_intensity,normal,,1.0,25,15,10,-1,0.6,0.8333333333333334,0.0002330716759649588,0.0006380812423169572,0.2,0.5,-0.18217384393497882,-0.10523389282435457,-0.28486571958575296,True,0.821046778564871,-0.00012427608938176513,0.0007623573316987223,2.9235182449046153,WEAK,passed
3,ETH,ETHUSDT,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,MegaETH market cap (FDV) >$1.5B one day after launch?,24,funding_intensity,normal,,1.0,36,21,15,1,0.75,0.0,0.00036916858306031955,0.0,0.14285714285714285,0.0,0.16038694011992344,0.21361030227755087,nan,False,0.0,-0.00036879846162333774,0.00036879846162333774,1.6337596923246676,WEAK,train_test_direction_mismatch
4,ETH,ETHUSDT,1373744,megaeth-market-cap-fdv-800m-one-day-after-launch-987-114-655,61268780060811317912125567165718241493378747385698282791855508063291413917546,MegaETH market cap (FDV) >$800M one day after launch?,24,funding_intensity,low,,1.0,268,160,108,1,0.41304347826086957,0.45,0.0001491996686721158,-1.121639610584132e-05,0.2375,0.16666666666666666,-0.023747975597043326,-0.016819182318587277,-0.0781508070433896,False,0.30336383646371745,-0.00011256199532550817,0.00010134559921966685,2.523632956307651,WEAK,train_test_direction_mismatch
5,ETH,ETHUSDT,1473059,will-ethereum-reach-3200-in-march-2026,109032826224197715026334794225382473216036340732102671964821699411734124191297,"Will Ethereum reach $3,200 in March?",24,funding_intensity,normal,,1.0,38,22,16,1,1.0,0.0,5.791036348666767e-05,0.0,0.045454545454545456,0.0,0.06849768506293738,0.07500649270514866,nan,False,0.0,-9.963404969149677e-05,9.963404969149677e-05,1.5999268099382993,WEAK,train_test_direction_mismatch
6,ETH,ETHUSDT,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,MegaETH market cap (FDV) >$1.5B one day after launch?,24,funding_direction,positive,,1.0,37,22,15,1,0.8,0.0,0.00217094520770907,-0.0002764227806344678,0.18181818181818182,0.0,0.17915901786575658,0.4629445936599214,-0.2797269852381103,False,0.05594539704762206,-0.00036879846162333774,9.237568098886996e-05,1.644420533245396,WEAK,train_test_direction_mismatch
7,BTC,BTCUSDT,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,"MicroStrategy sells any Bitcoin by June 30, 2026?",4,funding_direction,negative,,1.0,340,204,136,1,0.5352112676056338,0.4666666666666667,4.519200490905346e-05,-2.0001380862073023e-05,0.18627450980392157,0.051470588235294115,-0.012659779449155932,-0.01684996248779711,0.013013873747761105,False,0.002602774749552221,-0.00010057004324536141,8.056866238328839e-05,2.21871650722621,WEAK,train_test_direction_mismatch
8,BTC,BTCUSDT,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,"MicroStrategy sells any Bitcoin by June 30, 2026?",4,funding_intensity,low,,1.0,331,198,133,1,0.5211267605633803,0.46153846153846156,7.26566081070367e-05,-2.0471816121566334e-05,0.18686868686868688,0.045112781954887216,-0.02372655264702799,-0.030462620151614113,0.012720917648617628,False,0.0025441835297235257,-0.00010057004324536141,8.009822712379508e-05,2.218563828954483,WEAK,train_test_direction_mismatch
9,ETH,ETHUSDT,701552,will-ethereum-dip-to-1500-by-december-31-2026,101639751789549589765350117072740510018809594718571111931328241076831078702528,"Will Ethereum dip to $1,500 by December 31, 2026?",24,funding_intensity,low,,1.0,357,214,143,1,0.5423728813559322,0.3333333333333333,0.00014130033695832048,-3.7242630274180966e-06,0.14953271028037382,0.06993006993006994,0.06988375461374935,0.07740833014160242,0.05084833147454316,False,0.3101696662949086,-7.587451792514011e-05,7.215025489772202e-05,2.524599717274453,WEAK,train_test_direction_mismatch
10,ETH,ETHUSDT,1383662,will-megaeth-launch-a-token-by-june-30-2026-676-993-477,29601542826076048097538062468538667893425689293490219370577801090612691914945,"Will MegaETH launch a token by June 30, 2026?",4,funding_direction,positive,,1.0,40,24,16,-1,0.5,0.0,0.00010633747033539282,0.0,0.16666666666666666,0.0,-0.005775439297287766,0.024563899846224153,nan,False,0.0,-6.813371612628682e-05,6.813371612628682e-05,1.6136267432252571,WEAK,train_test_direction_mismatch
11,BTC,BTCUSDT,1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,13887983551129862992605123088744175927084435631400400451585519366058907542147,"Will Bitcoin dip to $50,000 by December 31, 2026?",1,funding_direction,negative,,1.0,533,319,214,1,0.47058823529411764,0.48484848484848486,6.326958083177771e-05,-5.88934643888324e-05,0.2006269592476489,0.14953271028037382,-0.004624801222083928,-0.0035766915703918547,-0.0063541079334293715,False,0.3007153383140784,-0.00012427608938176513,6.538262499293274e-05,2.5137918633126652,WEAK,train_test_direction_mismatch
12,BTC,BTCUSDT,1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,13887983551129862992605123088744175927084435631400400451585519366058907542147,"Will Bitcoin dip to $50,000 by December 31, 2026?",1,funding_intensity,low,,1.0,540,324,216,1,0.4896551724137931,0.47761194029850745,8.735713085985015e-05,-6.280967335355746e-05,0.2191358024691358,0.14814814814814814,-0.00024656673088261743,0.0033021917653747158,-0.007046490376298029,False,0.0006604383530749432,-0.00012427608938176513,6.146641602820768e-05,2.212953721558717,WEAK,train_test_direction_mismatch
13,BTC,BTCUSDT,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,"MicroStrategy sells any Bitcoin by June 30, 2026?",24,funding_intensity,low,,1.0,311,186,125,1,0.4925373134328358,0.4375,2.1612586790192434e-05,-0.00010144145263847554,0.1774193548387097,0.056,-0.01290155403952623,-0.0037728259693013575,-0.07779821908117775,False,0.30075456519386023,-0.00015746558538552716,5.602413274705162e-05,2.5119593917432708,WEAK,train_test_direction_mismatch
14,BTC,BTCUSDT,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,"Bitcoin all time high by December 31, 2026?",4,funding_direction,negative,,1.0,321,192,129,1,0.5490196078431373,0.4444444444444444,0.00012260957914460738,-9.118046761063177e-05,0.14583333333333334,0.031007751937984496,-0.010658054282435152,0.017841826839670644,-0.16378299054593884,False,0.003568365367934129,-0.00012953815285609782,3.8357685245466055e-05,2.2112399024170277,WEAK,train_test_direction_mismatch
15,ETH,ETHUSDT,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,MegaETH market cap (FDV) >$1.5B one day after launch?,1,funding_intensity,normal,,1.0,36,21,15,-1,0.5,0.0,4.152540812938307e-05,0.0,0.09523809523809523,0.0,-0.04387803398781063,-0.12243965849229936,nan,False,0.0,-3.460415668098621e-05,3.460415668098621e-05,1.566920831336197,WEAK,train_test_direction_mismatch
16,ETH,ETHUSDT,701552,will-ethereum-dip-to-1500-by-december-31-2026,101639751789549589765350117072740510018809594718571111931328241076831078702528,"Will Ethereum dip to $1,500 by December 31, 2026?",24,funding_direction,negative,,1.0,363,217,146,1,0.5689655172413793,0.30303030303030304,0.00013770461510348688,-5.978548818378311e-05,0.15207373271889402,0.0684931506849315,0.06287859257957988,0.07551976399231201,0.032701415970874975,False,0.306540283194175,-7.587451792514011e-05,1.6089029741357002e-05,2.5097580891424465,WEAK,train_test_direction_mismatch
