rank,asset,market_id,market_slug,token_id,question,lag_hours,n_observations,n_nonzero_changes,train_correlation,test_correlation,full_correlation,empirical_pvalue,rolling_stability,robustness_score,grade,filter_reason,days_to_resolution_at_end,volume_bucket,liquidity_bucket
1,BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,"MicroStrategy sells any Bitcoin by June 30, 2026?",1,357,91,-0.1575553432630613,-0.16491247655052158,-0.14961361195456052,0.01990049751243781,1.0,6.498761387727733,PROMISING,passed,64.29166666666667,100k-1m,10k-100k
2,BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,"Bitcoin all time high by September 30, 2026?",1,304,54,-0.13206258035563628,-0.13451499968662214,-0.1301944002153859,0.024875621890547265,1.0,6.2308237546520155,PROMISING,passed,156.33333333333334,100k-1m,10k-100k
3,SOL,1823881,will-solana-reach-160-in-april-2026,2239666445220242421622333852346062404205114740031545382107437837927896782621,Will Solana reach $160 in April?,4,424,95,0.1193425389782689,0.11380171416891953,0.11138333248938212,0.014925373134328358,0.75,6.13715782457594,PROMISING,passed,3.4166666666666665,100k-1m,10k-100k
4,BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",1,567,157,-0.07373500762402409,-0.0961994171924439,-0.08160632159827856,0.06467661691542288,1.0,6.351643852131374,WATCHLIST,passed,248.33333333333334,100k-1m,10k-100k
5,ETH,1823794,will-ethereum-reach-3000-in-april-2026,98694887273478515891138203442549017191281454470497426834485838288268569808164,"Will Ethereum reach $3,000 in April?",1,402,221,0.08422103407759056,0.1857463268353707,0.07609269745093987,0.0945273631840796,0.75,6.2936769078086945,WATCHLIST,passed,3.2916666666666665,100k-1m,100k-1m
6,SOL,1823881,will-solana-reach-160-in-april-2026,2239666445220242421622333852346062404205114740031545382107437837927896782621,Will Solana reach $160 in April?,24,404,95,-0.03228456712917337,-0.18570279922338573,-0.04424954577745861,0.373134328358209,1.0,5.990245339400511,WEAK,passed,4.25,100k-1m,10k-100k
7,BTC,1345530,will-bitcoin-reach-80000-by-december-31-2026-195-842-488-785,57919935471407397521237084573781793510659396827525482575585173092467716045100,"Will Bitcoin reach $80,000 by December 31, 2026?",4,629,350,0.1036625797169052,0.024152097595127844,0.06434371616416235,0.11940298507462686,1.0,5.881954517826386,WEAK,passed,248.45833333333334,100k-1m,10k-100k
8,BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,"Will Bitcoin dip to $10,000 by December 31, 2026?",4,688,173,-0.061742347106312295,-0.040168916103683755,-0.05389972104091268,0.1791044776119403,1.0,5.842635625294538,WEAK,passed,248.45833333333334,100k-1m,10k-100k
9,BTC,701504,will-bitcoin-dip-to-25000-by-december-31-2026-948-243-253-666-115-787-981-282-573-719-186-417-762-754-486-851-278-145,58908160299895538838177673280060816284346493901538403975218911918392404378292,"Will Bitcoin dip to $25,000 by December 31, 2026?",4,537,83,0.04044286976521471,0.08474666508957888,0.057163953952543804,0.208955223880597,0.75,5.7558228776867,WEAK,passed,248.45833333333334,100k-1m,10k-100k
10,BTC,701491,will-bitcoin-reach-150000-by-december-31-2026-557-246-971,9408196828451163378822245032645030045707991112669125056198742225498158094445,"Will Bitcoin reach $150,000 by December 31, 2026?",4,393,49,-0.13895386593910328,-0.02372725629547405,-0.08797647233618756,0.0945273631840796,1.0,5.71558155510921,WEAK,passed,248.45833333333334,100k-1m,10k-100k
