rank,asset,market_id,market_slug,token_id,horizon_hours,feature_name,segment_type,segment_value,final_grade,retained_after_dedup,rejection_reasons,sample_count,test_samples,unique_flow_hours,active_wallet_coverage,non_zero_net_flow_coverage,test_improvement_over_baseline,net_test_improvement_after_cost,test_win_rate,stability
1,ETH,1383662,will-megaeth-launch-a-token-by-june-30-2026-676-993-477,29601542826076048097538062468538667893425689293490219370577801090612691914945,24,flow_momentum_24h,flow_direction,buy_dominant,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,2,1,1,1.0,1.0,0.00845251290029196,0.0044525129002919595,1.0,0.5
2,ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,1,flow_momentum_24h,flow_direction,neutral,REJECTED,False,duplicate_segment_competition;insufficient_non_zero_net_flow_coverage;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,2,1,2,1.0,0.0,0.008063470256822513,0.0040634702568225125,1.0,0.5
3,ETH,1541748,megaeth-market-cap-fdv-600m-one-day-after-launch-185,4059022418536702873754043999793613981227320326515214315558101682042963701347,24,buy_volume_usdc,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,2,1,1,1.0,1.0,0.00610072639749039,0.0021007263974903902,1.0,0.5
4,BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,1,sell_volume_usdc,flow_direction,buy_dominant,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,3,2,1,1.0,1.0,0.0055893471731514426,0.0015893471731514425,1.0,0.5
5,ETH,965261,megaeth-market-cap-fdv-1b-one-day-after-launch-gj9e-189-291-824-352,65375575037849886682769112267853604820362504640888829027195234577761014837492,4,sell_volume_usdc,flow_direction,buy_dominant,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,2,1,2,1.0,1.0,0.005329134090674122,0.001329134090674122,1.0,0.5
6,BTC,1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,13887983551129862992605123088744175927084435631400400451585519366058907542147,24,large_trade_count,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,3,2,1,1.0,1.0,0.00503543189181393,0.0010354318918139298,1.0,0.5
7,BTC,1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,13887983551129862992605123088744175927084435631400400451585519366058907542147,24,whale_flow_score,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,3,2,1,1.0,1.0,0.00503543189181393,0.0010354318918139298,1.0,0.5
8,BTC,2054828,will-bitcoin-reach-82500-in-april,94423609542225753670941582315634376847502597669978386106469977359775855278346,1,buy_volume_usdc,copy_flow_bucket,present,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,2,1,2,1.0,1.0,0.004649914121585594,0.0006499141215855937,1.0,0.5
9,BTC,2054828,will-bitcoin-reach-82500-in-april,94423609542225753670941582315634376847502597669978386106469977359775855278346,1,copy_flow_count,flow_direction,buy_dominant,REJECTED,False,duplicate_segment_competition;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,2,1,2,1.0,1.0,0.004649914121585594,0.0006499141215855937,1.0,0.5
10,ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,1,flow_momentum_4h,flow_direction,neutral,REJECTED,False,duplicate_segment_competition;insufficient_non_zero_net_flow_coverage;insufficient_unique_flow_hours;low_sample_count,6,3,3,1.0,0.0,0.004508624419564764,0.0005086244195647641,0.6666666666666666,0.8016576058310362
11,ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,1,large_trade_count,flow_direction,neutral,REJECTED,False,duplicate_segment_competition;insufficient_non_zero_net_flow_coverage;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,6,3,3,1.0,0.0,0.004508624419564764,0.0005086244195647641,0.6666666666666666,0.5016576058310361
12,ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,1,unique_active_wallets,flow_direction,neutral,REJECTED,False,duplicate_segment_competition;insufficient_non_zero_net_flow_coverage;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior,6,3,3,1.0,0.0,0.004508624419564764,0.0005086244195647641,0.6666666666666666,0.5
