rank,asset,market_id,market_slug,token_id,question,horizon_hours,feature_name,segment_type,segment_value,simplicity,sample_count,train_samples,test_samples,learned_direction,train_direction_match_rate,test_direction_match_rate,train_average_forward_return,test_average_forward_return,train_win_rate,test_win_rate,full_correlation,train_correlation,test_correlation,train_test_direction_match,stability,baseline_test_average_forward_return,test_improvement_over_baseline,score,grade,filter_reason
1,BTC,1345530,will-bitcoin-reach-80000-by-december-31-2026-195-842-488-785,57919935471407397521237084573781793510659396827525482575585173092467716045100,"Will Bitcoin reach $80,000 by December 31, 2026?",1,flow_momentum_4h,all,all,0.6,80,48,32,-1,0.5833333333333334,0.59375,1.548356507725789e-05,0.0005706685625801525,0.5833333333333334,0.59375,-0.17140067399435874,-0.13032285244938974,-0.162537576753791,True,0.826064570489878,-0.00022929516963427033,0.0007999637322144228,5.093557316932763,SIMULATION_READY,passed
2,BTC,1345530,will-bitcoin-reach-80000-by-december-31-2026-195-842-488-785,57919935471407397521237084573781793510659396827525482575585173092467716045100,"Will Bitcoin reach $80,000 by December 31, 2026?",1,flow_momentum_4h,active_wallet_bucket,high,0.54,80,48,32,-1,0.5833333333333334,0.59375,1.548356507725789e-05,0.0005706685625801525,0.5833333333333334,0.59375,-0.17140067399435874,-0.13032285244938974,-0.162537576753791,True,0.826064570489878,-0.00022929516963427033,0.0007999637322144228,5.081557316932763,SIMULATION_READY,passed
3,BTC,1345530,will-bitcoin-reach-80000-by-december-31-2026-195-842-488-785,57919935471407397521237084573781793510659396827525482575585173092467716045100,"Will Bitcoin reach $80,000 by December 31, 2026?",1,flow_momentum_4h,whale_flow_bucket,normal,0.54,80,48,32,-1,0.5833333333333334,0.59375,1.548356507725789e-05,0.0005706685625801525,0.5833333333333334,0.59375,-0.17140067399435874,-0.13032285244938974,-0.162537576753791,True,0.826064570489878,-0.00022929516963427033,0.0007999637322144228,5.081557316932763,SIMULATION_READY,passed
4,ETH,1823799,will-ethereum-dip-to-2000-in-april-2026,115443844896518160070261607488184121309794437412699113546532889479676113001808,"Will Ethereum dip to $2,000 in April?",1,net_flow_usdc,all,all,1.0,129,77,52,-1,0.5324675324675324,0.6153846153846154,0.0005226709588021912,0.0010134462367705943,0.5324675324675324,0.6153846153846154,-0.14976724139196718,-0.254276379990427,-0.0849958360333052,True,0.8169991672066611,0.0003732483545646167,0.0006401978822059777,5.3758079744170875,SIMULATION_READY,passed
5,ETH,1823799,will-ethereum-dip-to-2000-in-april-2026,115443844896518160070261607488184121309794437412699113546532889479676113001808,"Will Ethereum dip to $2,000 in April?",1,net_flow_usdc,active_wallet_bucket,high,0.9,129,77,52,-1,0.5324675324675324,0.6153846153846154,0.0005226709588021912,0.0010134462367705943,0.5324675324675324,0.6153846153846154,-0.14976724139196718,-0.254276379990427,-0.0849958360333052,True,0.8169991672066611,0.0003732483545646167,0.0006401978822059777,5.355807974417087,SIMULATION_READY,passed
6,ETH,1823799,will-ethereum-dip-to-2000-in-april-2026,115443844896518160070261607488184121309794437412699113546532889479676113001808,"Will Ethereum dip to $2,000 in April?",1,net_flow_usdc,whale_flow_bucket,normal,0.9,129,77,52,-1,0.5324675324675324,0.6153846153846154,0.0005226709588021912,0.0010134462367705943,0.5324675324675324,0.6153846153846154,-0.14976724139196718,-0.254276379990427,-0.0849958360333052,True,0.8169991672066611,0.0003732483545646167,0.0006401978822059777,5.355807974417087,SIMULATION_READY,passed
7,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,"Will Bitcoin reach $80,000 in April?",1,net_flow_usdc,all,all,1.0,127,76,51,1,0.5263157894736842,0.5882352941176471,0.00033229214686299,0.0006377198958146705,0.5263157894736842,0.5882352941176471,0.17473078020604554,0.25421639019901343,0.34790322842324156,True,0.8508432780398028,4.283575042744895e-06,0.0006334363207719256,5.354001130429483,SIMULATION_READY,passed
8,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,"Will Bitcoin reach $80,000 in April?",1,net_flow_usdc,active_wallet_bucket,high,0.9,127,76,51,1,0.5263157894736842,0.5882352941176471,0.00033229214686299,0.0006377198958146705,0.5263157894736842,0.5882352941176471,0.17473078020604554,0.25421639019901343,0.34790322842324156,True,0.8508432780398028,4.283575042744895e-06,0.0006334363207719256,5.334001130429482,SIMULATION_READY,passed
9,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,"Will Bitcoin reach $80,000 in April?",1,net_flow_usdc,whale_flow_bucket,normal,0.9,127,76,51,1,0.5263157894736842,0.5882352941176471,0.00033229214686299,0.0006377198958146705,0.5263157894736842,0.5882352941176471,0.17473078020604554,0.25421639019901343,0.34790322842324156,True,0.8508432780398028,4.283575042744895e-06,0.0006334363207719256,5.334001130429482,SIMULATION_READY,passed
10,ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,MegaETH market cap (FDV) >$1.5B one day after launch?,4,flow_momentum_4h,flow_direction,buy_dominant,0.54,58,34,24,1,0.6764705882352942,0.5416666666666666,0.0005297780147289445,0.002429401626035857,0.6764705882352942,0.5416666666666666,0.29342256310280934,0.14672466143794738,0.3097425138966356,True,0.8293449322875895,0.00033145925611960603,0.002097942369916251,4.020266739604173,WATCHLIST,passed
